YYYY,TMax,TAvg,TMin,luxMax,luxAvg
2006,5.82,2.63,0.14,,
2007,7.08,1.86,-1.70,1722.20,73.61
2008,6.98,1.63,-1.68,2927.80,100.92
2009,7.18,0.93,-1.80,2411.10,120.97
2010,7.98,0.69,-1.80,2238.90,91.82
2011,7.28,1.05,-1.80,3788.90,32.47
2012,7.98,1.92,-1.46,1894.50,42.97
2013,7.58,2.52,-1.57,3616.70,79.42
2014,7.98,3.41,-0.44,764.20,22.13
2015,7.78,1.46,-1.80,2066.70,15.25
2016,8.48,3.07,-0.55,635.10,4.98
2017,8.08,3.10,-0.44,1377.80,38.97
2018,6.67,1.64,-1.80,1259.40,48.59
2019,8.88,2.21,-1.80,1894.50,66.25
2020,6.17,0.37,-1.80,1216.30,74.53
2021,6.47,3.11,-0.10,1808.30,62.86
2022,7.28,1.24,-1.68,2238.90,133.20
