YYYY,TMax,TAvg,TMin,luxMax,luxAvg
2006,6.38,2.62,0.00,,
2007,7.57,1.92,-1.76,1550.00,76.78
2008,7.28,1.56,-1.91,1894.50,22.85
2009,7.48,0.86,-1.91,5166.70,59.70
2010,8.08,-0.08,-1.91,602.80,11.61
2011,5.45,1.94,-0.33,947.20,24.99
2012,7.88,1.80,-1.80,2066.70,38.30
2013,8.28,2.48,-1.68,1001.00,24.57
2014,7.98,2.96,-0.44,1377.80,36.34
2015,8.18,1.65,-1.80,1808.30,26.53
2016,9.47,3.13,-0.44,1280.90,17.32
2017,8.78,3.18,-0.77,2583.40,95.20
2018,7.78,1.96,-1.57,2325.00,50.39
2019,9.57,2.44,-1.80,2238.90,92.31
2020,9.87,1.74,-1.91,2583.40,113.69
2021,7.38,1.95,-1.68,4133.40,138.97
2022,8.68,1.35,-1.68,3272.20,156.67
